Collector	Date	Well	Strain	Media	Hours	Experiment	Drop	Notes	BODIPY	Cells/mL	FSC	SSC	Geomean	Harmean	CoV	CoVlog	Skew	Kurtosis
Dominic Pinel	20161114	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation			303.573159707	413.285068214	2502.34301263	253.964906534	243.881957965	182.21114597	0.650660741308	0.128157429028	-0.591352315134	0.639105694029
Dominic Pinel	20161114	A02	APA 4140	Nicaud CN120	40	Lipid Accumulation			318.860499129	461.956934673	2634.44230723	227.551945556	249.349221478	165.28607005	0.652318749845	0.140777735521	-0.948109163663	1.6143627563
Dominic Pinel	20161114	A03	APA 4140	Nicaud CN120	40	Lipid Accumulation			303.004672814	461.142163961	2548.16471982	234.651542914	232.577757685	147.14063049	0.676983531184	0.148415895991	-0.954202678197	1.70320054309
Dominic Pinel	20161114	B01	APA 4821	Nicaud CN120	40	Lipid Accumulation			43.8327717059	98.2639337733	2143.1131298	244.721666481	27.0511590189	19.9988060334	1.58173405717	0.261847282429	0.866652902577	1.03020049617
Dominic Pinel	20161114	B02	APA 4821	Nicaud CN120	40	Lipid Accumulation			34.652735571	170.933174085	1972.32515531	299.509771915	21.4198124438	16.2615943712	1.71858618441	0.273469430829	1.04561816025	1.5276441574
Dominic Pinel	20161114	B03	APA 4821	Nicaud CN120	40	Lipid Accumulation			32.3573102872	193.063754451	1859.04809947	297.620521871	20.3296399411	15.6496886582	1.72768385307	0.271409249418	1.0905848195	1.74795191273
Dominic Pinel	20161114	C01	APA 4812	Nicaud CN120	40	Lipid Accumulation			450.241162066	400.791250882	2695.55481173	261.010600567	352.82341132	265.162030833	0.734971105785	0.123739476338	-0.325520207005	0.0608413442813
Dominic Pinel	20161114	C02	APA 4812	Nicaud CN120	40	Lipid Accumulation			464.321108604	382.707103345	2763.16164502	262.626210042	369.806361811	282.912341994	0.701188834023	0.11789709121	-0.294797283965	0.272978054606
Dominic Pinel	20161114	C03	APA 4812	Nicaud CN120	40	Lipid Accumulation			455.10936249	367.647058824	2655.62498152	251.070796203	356.539126176	265.649039669	0.721772417401	0.123619289515	-0.330806603156	0.241274580487
Dominic Pinel	20161114	D01	APA 4815	Nicaud CN120	40	Lipid Accumulation			425.016966855	413.066214038	2780.16733775	232.134802091	357.818877427	286.975836773	0.582274540238	0.104498879141	-0.520686531886	0.904293507672
Dominic Pinel	20161114	D02	APA 4815	Nicaud CN120	40	Lipid Accumulation			444.994296751	388.775059258	2771.91838741	233.32935588	385.623499813	309.917921304	0.574873825362	0.0937772062456	-0.746113114866	3.75245459272
Dominic Pinel	20161114	D03	APA 4815	Nicaud CN120	40	Lipid Accumulation			407.166229765	429.58225536	2618.99598867	210.463508959	344.203173308	278.190714532	0.571874885644	0.104191453599	-0.542668639338	0.773125115419
Dominic Pinel	20161114	E01	APA 4818	Nicaud CN120	40	Lipid Accumulation			94.9362089755	355.563375279	1335.97863019	155.933779362	58.8026781448	27.7115590133	0.876299160509	0.275479023456	-0.710860434846	-0.0774699153972
Dominic Pinel	20161114	E02	APA 4818	Nicaud CN120	40	Lipid Accumulation			98.0344620969	383.936699413	1169.4855984	139.762200551	65.2260200552	33.7223039158	0.838515573314	0.245621681819	-0.795617376264	0.353090613576
Dominic Pinel	20161114	E03	APA 4818	Nicaud CN120	40	Lipid Accumulation			104.224093654	379.500017244	1259.15245415	149.159459816	67.7525635153	34.7123883363	0.853046136753	0.249035247116	-0.713035669406	0.115213022987
Dominic Pinel	20161114	F01	APA 4817	Nicaud CN120	40	Lipid Accumulation			129.159227341	395.79716187	1811.69958721	176.155198562	99.6952902229	66.3455596215	0.709171448257	0.170574433619	-0.840780095225	1.56489874919
Dominic Pinel	20161114	F02	APA 4817	Nicaud CN120	40	Lipid Accumulation			139.218367388	431.296944761	1853.54447041	183.316615132	108.306967627	73.1111602394	0.682928858793	0.165628729982	-0.850952803998	1.38613950994
Dominic Pinel	20161114	F03	APA 4817	Nicaud CN120	40	Lipid Accumulation			137.062802127	419.761001585	1748.89906857	175.678186316	109.56291989	80.3725293675	0.702741638378	0.15156786569	-0.651924689739	1.1603052975
Sam Coradetti	20161120	A01	APA 2687	Nicaud CN120	40	Lipid Accumulation			147.692004136	374.567972707	1640.58024096	178.087982598	104.727331101	59.720316177	0.823134920611	0.197467559158	-0.831806934503	1.21270820055
Sam Coradetti	20161120	A02	APA 4140	Nicaud CN120	40	Lipid Accumulation			159.152912461	280.115466911	1766.91407218	213.806518318	124.258165823	90.9964389479	0.751085908358	0.151965615478	-0.434705923723	0.818725880793
Sam Coradetti	20161120	A03	APA 9170	Nicaud CN120	40	Lipid Accumulation			80.6190145961	176.347880425	2183.65237183	275.218038713	63.8412920175	46.807374346	0.788612920354	0.170894508918	-0.580197508035	1.79369940747
Sam Coradetti	20161120	A04	APA 9176	Nicaud CN120	40	Lipid Accumulation			213.049046126	301.337764624	2023.87404351	248.663211925	158.135813987	105.925705449	0.841700558239	0.160222833384	-0.510439020087	1.05195116795
Sam Coradetti	20161120	A05	APA 9177	Nicaud CN120	40	Lipid Accumulation			172.526777062	299.249554455	1931.60157697	224.286151975	144.091286979	114.582069781	0.619662042313	0.126273814848	-0.551907463389	1.11696753304
Sam Coradetti	20161120	B01	APA 2687	Nicaud CN120	40	Lipid Accumulation			150.979663968	327.866804891	1479.0293215	169.675783656	112.766069786	72.5775238691	0.774465929978	0.175221237356	-0.740561108131	1.24921418514
Sam Coradetti	20161120	B02	APA 4140	Nicaud CN120	40	Lipid Accumulation			153.45460407	271.508541031	1729.12401359	199.734016719	117.82936336	84.3045211249	0.78356003137	0.159516691383	-0.461605154109	0.722814708269
Sam Coradetti	20161120	B03	APA 9170	Nicaud CN120	40	Lipid Accumulation			82.2957512879	190.066187755	2313.89540324	276.171613791	62.8579414392	45.4578159964	0.904033901283	0.180213744645	-0.356313832564	1.41305787655
Sam Coradetti	20161120	B04	APA 9176	Nicaud CN120	40	Lipid Accumulation			236.871943828	346.140164401	2002.29502204	238.51822296	177.002901261	117.477880251	0.809782925948	0.156785487176	-0.600107088203	1.13083239009
Sam Coradetti	20161120	B05	APA 9177	Nicaud CN120	40	Lipid Accumulation			176.657251492	352.841273288	1860.69390931	200.805072891	144.481494849	107.80254321	0.641435311344	0.136070397652	-0.776556274688	1.90165294289
Sam Coradetti	20161120	C01	APA 2687	Nicaud CN120	40	Lipid Accumulation			165.708126595	349.236491304	1528.29898964	160.276113849	120.252676254	71.8666020136	0.812973866945	0.183127447042	-0.810325723105	1.43368607633
Sam Coradetti	20161120	C02	APA 4140	Nicaud CN120	40	Lipid Accumulation			185.953901481	348.064413242	1569.15613135	168.646270235	139.657518995	89.3717161739	0.768492159208	0.166171513406	-0.783492887924	1.5550718957
Sam Coradetti	20161120	C03	APA 9170	Nicaud CN120	40	Lipid Accumulation			69.3504619179	140.065788699	2020.36022001	251.728804385	52.3617901602	38.4512023222	0.925638498198	0.190192450734	-0.188210102932	0.892072556219
Sam Coradetti	20161120	C04	APA 9176	Nicaud CN120	40	Lipid Accumulation			267.51224827	350.602568559	1869.64694966	186.50983322	207.616149376	146.09998879	0.753864814413	0.1413600976	-0.608631463685	1.21879957188
Sam Coradetti	20161120	C05	APA 9177	Nicaud CN120	40	Lipid Accumulation			179.715554325	355.158668576	1624.21774447	164.000068572	145.281942668	105.631135538	0.671891708587	0.140501640397	-0.825621254561	2.00006196528
Sam Coradetti	20161125	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation			209.28426008	364.149297202	1801.3653756	189.113410913	157.133152737	94.0036881916	0.732982362081	0.167224922464	-1.02751373822	2.08095234137
Sam Coradetti	20161125	A02	APA 9168	Nicaud CN120	40	Lipid Accumulation			198.988512168	284.291299854	1957.68993993	212.65593219	165.25309913	129.119159059	0.621782776366	0.125322781223	-0.588893435155	1.33004502676
Sam Coradetti	20161125	A03	APA 4814	Nicaud CN120	40	Lipid Accumulation			78.3577976897	139.628058063	2007.26071738	250.644340952	42.034049006	25.5182770254	1.66139580915	0.284034467115	0.31542044247	-0.0297392167957
Sam Coradetti	20161125	A04	APA 4812	Nicaud CN120	40	Lipid Accumulation			298.69288037	369.945204994	2200.48753226	235.389280275	214.663798306	143.638995137	0.973965728382	0.156132095319	-0.335508198675	0.620423304004
Sam Coradetti	20161125	A05	APA 4818	Nicaud CN120	40	Lipid Accumulation			57.7388645278	264.147607327	1307.03692472	176.904771638	42.2250091704	29.0496936963	0.803992796134	0.222906147777	-0.342889458929	-0.230157571764
Sam Coradetti	20161125	A06	APA 4815	Nicaud CN120	40	Lipid Accumulation			241.489612615	395.303733699	2340.17469346	212.989937087	184.994141241	112.377390788	0.698386379516	0.15680826584	-1.11747046609	2.53027836579
Sam Coradetti	20161125	A07	APA 4817	Nicaud CN120	40	Lipid Accumulation			99.8672177509	381.656750358	1446.64598647	191.355955253	75.1547932014	48.9697946614	0.756171694808	0.18963162537	-0.754595654151	1.18541854256
Sam Coradetti	20161125	A08	APA 4821	Nicaud CN120	40	Lipid Accumulation			83.1126179277	174.502596084	2049.64392885	238.788187532	44.811183558	26.3777621375	1.62761377786	0.282830346274	0.207396221657	-0.0643188957222
Sam Coradetti	20161125	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation			213.413923299	379.030535981	1736.95471883	182.068698235	163.500759218	101.498316492	0.714896019264	0.158799655904	-1.03191343366	2.37565220303
Sam Coradetti	20161125	B02	APA 9168	Nicaud CN120	40	Lipid Accumulation			191.513900081	288.402622303	1797.43243929	191.434610644	151.003739017	102.974741952	0.689094758263	0.149152789712	-0.885214217231	2.11261104513
Sam Coradetti	20161125	B03	APA 4814	Nicaud CN120	40	Lipid Accumulation			83.5580367886	152.905347552	2019.50104611	247.582365532	47.6627057871	28.7021776296	1.47226165937	0.269705760467	0.120601099748	-0.196130404828
Sam Coradetti	20161125	B04	APA 4812	Nicaud CN120	40	Lipid Accumulation			332.568021731	407.255180781	2655.29182496	260.486702545	214.925424587	105.682812293	1.13812499187	0.188485529585	-0.75307695785	1.55184231004
Sam Coradetti	20161125	B05	APA 4818	Nicaud CN120	40	Lipid Accumulation			61.306190463	301.554696157	1301.65400832	172.275172056	44.032385578	29.5886629055	0.838907394352	0.227030301733	-0.347753914955	-0.211954764001
Sam Coradetti	20161125	B06	APA 4815	Nicaud CN120	40	Lipid Accumulation			276.131989668	362.625591353	2242.84260815	203.054373422	224.199373637	166.103060572	0.656796701483	0.12686351362	-0.71462673785	1.68006825954
Sam Coradetti	20161125	B07	APA 4817	Nicaud CN120	40	Lipid Accumulation			113.270929536	430.295657404	1382.93443059	185.053140752	86.6400969055	56.608843071	0.724748785363	0.179910452073	-0.871887744926	1.51947655615
Sam Coradetti	20161125	B08	APA 4821	Nicaud CN120	40	Lipid Accumulation			82.7460448686	193.783415113	2074.51205133	243.860345531	43.7934329765	25.5064879004	1.57857777156	0.289641331778	0.225518924073	-0.169392956257
Sam Coradetti	20161125	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation			225.204141755	371.959905988	1902.20069196	188.861236836	168.554590978	96.6853443165	0.725889956874	0.167566924461	-1.12660882297	2.4546661016
Sam Coradetti	20161125	C02	APA 9168	Nicaud CN120	40	Lipid Accumulation			239.105471174	368.665869176	1921.74890623	195.214569031	193.874962646	144.304839885	0.655147235027	0.13086194011	-0.701143369195	1.47557233814
Sam Coradetti	20161125	C03	APA 4814	Nicaud CN120	40	Lipid Accumulation			93.4992987309	193.419270581	2012.01702702	240.61650982	49.0880949569	29.1038663772	1.64764273463	0.278692207349	0.294399860102	-0.0559530854886
Sam Coradetti	20161125	C04	APA 4812	Nicaud CN120	40	Lipid Accumulation			301.735067095	382.950820822	2311.25661051	216.960252281	195.155858854	92.8546501053	1.07996724171	0.194147735793	-0.809462184863	1.59000612347
Sam Coradetti	20161125	C05	APA 4818	Nicaud CN120	40	Lipid Accumulation			75.3345799085	309.053623261	1307.08947441	185.816266288	55.8073326916	37.9936859799	0.787411260566	0.204887396804	-0.466925610354	0.160605054464
