Collector	Date	Well	Strain	Media	Hours	Experiment	Drop	Notes
Dominic Pinel	20161114	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	A02	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	A03	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	B01	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	B02	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	B03	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	C01	APA 4812	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	C02	APA 4812	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	C03	APA 4812	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	D01	APA 4815	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	D02	APA 4815	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	D03	APA 4815	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	E01	APA 4818	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	E02	APA 4818	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	E03	APA 4818	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	F01	APA 4817	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	F02	APA 4817	Nicaud CN120	40	Lipid Accumulation		
Dominic Pinel	20161114	F03	APA 4817	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	A01	APA 2687	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	A02	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	A03	APA 9170	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	A04	APA 9176	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	A05	APA 9177	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	B01	APA 2687	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	B02	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	B03	APA 9170	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	B04	APA 9176	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	B05	APA 9177	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	C01	APA 2687	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	C02	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	C03	APA 9170	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	C04	APA 9176	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161120	C05	APA 9177	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	A02	APA 9168	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	A03	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	A04	APA 4812	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	A05	APA 4818	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	A06	APA 4815	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	A07	APA 4817	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	A08	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	B01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	B02	APA 9168	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	B03	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	B04	APA 4812	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	B05	APA 4818	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	B06	APA 4815	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	B07	APA 4817	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	B08	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	C01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	C02	APA 9168	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	C03	APA 4814	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	C04	APA 4812	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	C05	APA 4818	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	C06	APA 4815	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	C07	APA 4817	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161125	C08	APA 4821	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	A01	APA 4140	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	A02	APA 9116	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	A03	APA 9119	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	A04	APA 9122	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	A05	APA 9146	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	A06	APA 9148	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	A07	APA 9150	Nicaud CN120	40	Lipid Accumulation		
Sam Coradetti	20161201	A08	APA 9152	Nicaud CN120	40	Lipid Accumulation		
