Color	LineStyle	Symbol	FaceColor	ColorOrder	Xlabel	RTO3 ID	RTO4 ID	ColorLabel	Date/Time	Xvalue	Data		
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	6/12/17 17:30	0	0.1	0.1	0.1
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	6/12/17 22:00	4.5	0.156	0.134	0.142
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	6/13/17 10:00	16.5	0.55	0.57	0.6
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	6/13/17 15:45	22.25	0.66	0.73	0.74
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	6/14/17 10:15	40.75	1.47	1.89	2.1
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	6/14/17 16:05	46.58333333	1.82	2.52	2.7
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	6/15/17 14:17	68.78333333	4.54	6.48	7.22
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	6/16/17 9:00	87.5	8.98	10.74	10.52
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	42902.66667	94.5	10.2	11.46	11.22
C0	-	v	C0	1	APA 4140	RTO3_953802	RTO4_11920	$YKU70\Delta$ Oleic Acid	6/18/17 20:00	146.5	10.16	9.52	10.58
C0	:	v	none	2	APA 4140 RA	RTO3_953802	RTO4_11920	$YKU70\Delta$ Ricinoleic Acid	6/20/17 19:00	0	0.1	0.1	0.1
C0	:	v	none	2	APA 4140 RA	RTO3_953802	RTO4_11920	$YKU70\Delta$ Ricinoleic Acid	6/20/17 21:30	2.5	0.082	0.096	0.078
C0	:	v	none	2	APA 4140 RA	RTO3_953802	RTO4_11920	$YKU70\Delta$ Ricinoleic Acid	6/21/17 10:10	15.16666667	0.51	0.66	0.42
C0	:	v	none	2	APA 4140 RA	RTO3_953802	RTO4_11920	$YKU70\Delta$ Ricinoleic Acid	6/21/17 15:00	20	0.95	0.96	0.81
C0	:	v	none	2	APA 4140 RA	RTO3_953802	RTO4_11920	$YKU70\Delta$ Ricinoleic Acid	6/22/17 10:30	39.5	1.84	1.87	1.83
C0	:	v	none	2	APA 4140 RA	RTO3_953802	RTO4_11920	$YKU70\Delta$ Ricinoleic Acid	6/22/17 17:25	46.41666667	1.95	1.91	1.91
C0	:	v	none	2	APA 4140 RA	RTO3_953802	RTO4_11920	$YKU70\Delta$ Ricinoleic Acid	6/23/17 12:25	65.41666667	1.98	1.93	1.94
C0	:	v	none	2	APA 4140 RA	RTO3_953802	RTO4_11920	$YKU70\Delta$ Ricinoleic Acid	6/24/17 18:45	95.75	1.94	1.98	2.05
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	6/12/17 17:30	0	0.1	0.1	0.1
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	6/12/17 22:00	4.5	0.1	0.094	0.102
C2	-	o	C2	3	APA 4841	RTO3_24860	RTO4_8673	$RTO4$_$8673\Delta$ Oleic Acid	6/13/17 10:00	16.5	0.33	0.33	0.36
